Gender,Age,Married,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0,37,1,0,34.827662,-118.999073,2,9,42.39,0,0,16.0,0,1,0,1,1,0,0,1,1,1,1,65.6,593.3,0.0,0,381.51,974.81,1
1,50,0,0,33.645672,-117.922613,0,4,33.65,0,2,30.0,0,0,1,0,0,0,0,1,0,1,0,73.9,280.85,0.0,0,134.6,415.45,0
1,78,1,0,38.014457,-122.115432,1,13,27.82,0,2,4.0,0,1,1,0,1,1,0,1,0,1,0,98.0,1237.85,0.0,0,361.66,1599.51,0
0,75,1,0,34.227846,-119.079903,3,3,7.38,0,2,11.0,0,0,0,1,1,0,0,1,0,1,1,83.9,267.4,0.0,0,22.14,289.54,0
0,23,0,3,37.581496,-119.972762,0,9,16.77,0,0,73.0,0,0,0,1,1,1,1,1,0,1,1,69.4,571.45,0.0,0,150.93,722.38,1
0,67,1,0,34.757477,-120.550507,1,71,9.96,0,2,14.0,1,1,1,1,1,1,1,1,2,1,0,109.7,7904.25,0.0,0,707.16,8611.41,1
1,52,1,0,38.489789,-122.27011,8,63,12.96,1,2,7.0,1,0,0,1,0,0,0,0,2,1,1,84.65,5377.8,0.0,20,816.48,6214.28,1
0,68,0,0,34.296813,-118.685703,0,7,10.53,0,1,21.0,1,0,0,0,0,0,0,1,2,1,0,48.2,340.35,0.0,0,73.71,414.06,1
0,43,1,1,38.984756,-121.345074,3,65,28.46,1,0,14.0,1,1,1,1,1,1,1,1,2,1,1,90.45,5957.9,0.0,0,1849.9,7807.8,1
0,25,1,2,37.378541,-122.020456,2,72,16.01,1,2,59.0,1,1,1,1,1,1,1,1,2,1,1,116.8,8456.75,0.0,0,1152.72,9609.47,1
0,58,1,0,38.715498,-121.363411,0,5,18.65,0,2,10.0,0,0,0,0,0,0,0,1,0,1,0,68.95,351.5,0.0,0,93.25,444.75,1
0,32,0,0,32.782501,-117.01611,0,72,2.25,1,2,16.0,1,1,1,0,1,0,0,1,2,1,0,101.3,7261.25,0.0,0,162.0,7423.25,1
0,58,1,2,36.464635,-119.094348,9,71,27.26,1,2,12.0,0,1,1,0,0,1,1,1,2,1,1,95.75,6849.4,0.0,0,1935.46,8784.86,1
0,72,0,0,33.119028,-117.166036,0,1,7.77,1,2,22.0,0,0,0,0,0,0,0,1,1,1,0,72.1,72.1,0.0,0,7.77,79.87,1
1,79,0,0,37.680844,-122.48131,0,45,10.67,0,1,17.0,1,0,1,0,0,1,0,1,1,0,1,62.7,2791.5,0.0,0,480.15,3271.65,0
0,26,1,0,39.227434,-120.091806,1,13,43.56,1,2,52.0,0,1,1,0,1,0,0,1,0,0,0,94.1,1215.6,0.0,0,566.28,1781.88,0
