date,Month,quarter,fiscal_year
01-04-2019,Apr,Q1,2019
01-05-2019,May,Q1,2019
01-06-2019,Jun,Q1,2019
01-07-2019,Jul,Q2,2019
01-08-2019,Aug,Q2,2019
01-09-2019,Sep,Q2,2019
01-10-2019,Oct,Q3,2019
01-11-2019,Nov,Q3,2019
01-12-2019,Dec,Q3,2019
01-01-2020,Jan,Q4,2019
01-02-2020,Feb,Q4,2019
01-03-2020,Mar,Q4,2019
01-04-2020,Apr,Q1,2020
01-05-2020,May,Q1,2020
01-06-2020,Jun,Q1,2020
01-07-2020,Jul,Q2,2020
01-08-2020,Aug,Q2,2020
01-09-2020,Sep,Q2,2020
01-10-2020,Oct,Q3,2020
01-11-2020,Nov,Q3,2020
01-12-2020,Dec,Q3,2020
01-01-2021,Jan,Q4,2020
01-02-2021,Feb,Q4,2020
01-03-2021,Mar,Q4,2020
01-04-2021,Apr,Q1,2021
01-05-2021,May,Q1,2021
01-06-2021,Jun,Q1,2021
01-07-2021,Jul,Q2,2021
01-08-2021,Aug,Q2,2021
01-09-2021,Sep,Q2,2021
01-10-2021,Oct,Q3,2021
01-11-2021,Nov,Q3,2021
01-12-2021,Dec,Q3,2021
01-01-2022,Jan,Q4,2021
01-02-2022,Feb,Q4,2021
01-03-2022,Mar,Q4,2021
01-04-2022,Apr,Q1,2022
01-05-2022,May,Q1,2022
01-06-2022,Jun,Q1,2022
01-07-2022,Jul,Q2,2022
01-08-2022,Aug,Q2,2022
01-09-2022,Sep,Q2,2022
01-10-2022,Oct,Q3,2022
01-11-2022,Nov,Q3,2022
01-12-2022,Dec,Q3,2022
01-01-2023,Jan,Q4,2022
01-02-2023,Feb,Q4,2022
01-03-2023,Mar,Q4,2022
